"species_code","score","start_offset_sec","end_offset_sec"
"treswa",0.9751984,14,17
"rewbla",0.74633443,19,22
"moudov",0.5336393,40,43
"comyel",0.9503597,68,71
"reevir1",0.5990619,72,75
"barswa",0.77898484,94,97
"purmar",0.9999912,127,130
"houspa",0.50821394,129,132
"easmea",0.6216363,159,162
"graspa",0.99588877,180,183
"norcar",0.9530048,183,186
"houfin",0.5051374,183,186
"brnthr",0.9218306,187,190
"amecro",0.98522,189,192
"easblu",0.9531205,226,229
"sonspa",0.9986967,227,230
"grycat",0.9989705,232,235
"boboli",0.9158212,255,258
"amerob",0.74880004,264,267
